Reference, Value, Footprint, Datasheet
"J1","Conn_01x03","alex-library:Connect-3pin",""
"R1","10","alex-library:R_Axial_Long6.3mm_Dia2.5mm_Pas15.24mm_Horizontal",""
"R5","220","alex-library:R_Axial_Long6.3mm_Dia2.5mm_Pas15.24mm_Horizontal",""
"C3","100nF","alex-library:C-P_5.08-L_7.5-H_6-P_2.5",""
"D1","1N4148","alex-library:D_DO-35_SOD27_P12.70mm_Horizontal",""
"Q1","2N2222a","alex-library:TO-18-3",""
"R6","2,2K","alex-library:R_Axial_Long6.3mm_Dia2.5mm_Pas15.24mm_Horizontal",""
"C7","100nF","alex-library:C-P_5.08-L_7.5-H_6-P_2.5",""
"C6","100nF","alex-library:C-P_5.08-L_7.5-H_6-P_2.5",""
"C1","100nF","alex-library:C-P_5.08-L_7.5-H_6-P_2.5",""
"R3","1K","alex-library:R_Axial_Long6.3mm_Dia2.5mm_Pas15.24mm_Horizontal",""
"R8","100","alex-library:R_Axial_Long6.3mm_Dia2.5mm_Pas15.24mm_Horizontal",""
"R11","10","alex-library:R_Axial_Long6.3mm_Dia2.5mm_Pas15.24mm_Horizontal",""
"R2","10","alex-library:R_Axial_Long6.3mm_Dia2.5mm_Pas15.24mm_Horizontal",""
"R7","220","alex-library:R_Axial_Long6.3mm_Dia2.5mm_Pas15.24mm_Horizontal",""
"C4","100nF","alex-library:C-P_5.08-L_7.5-H_6-P_2.5",""
"D2","1N4148","alex-library:D_DO-35_SOD27_P12.70mm_Horizontal",""
"Q2","2N2222a","alex-library:TO-18-3",""
"R10","2,2K","alex-library:R_Axial_Long6.3mm_Dia2.5mm_Pas15.24mm_Horizontal",""
"C8","100nF","alex-library:C-P_5.08-L_7.5-H_6-P_2.5",""
"C5","100nF","alex-library:C-P_5.08-L_7.5-H_6-P_2.5",""
"C2","100nF","alex-library:C-P_5.08-L_7.5-H_6-P_2.5",""
"R12","1K","alex-library:R_Axial_Long6.3mm_Dia2.5mm_Pas15.24mm_Horizontal",""
"R9","100","alex-library:R_Axial_Long6.3mm_Dia2.5mm_Pas15.24mm_Horizontal",""
"R4","10","alex-library:R_Axial_Long6.3mm_Dia2.5mm_Pas15.24mm_Horizontal",""
"J3","Conn_01x02","alex-library:Connect-2pin",""
"J2","Conn_01x02","alex-library:Connect-2pin",""
"H1","M3-Hole","alex-library:M3-Hole",""
"H2","M3-Hole","alex-library:M3-Hole",""
"H3","M3-Hole","alex-library:M3-Hole",""
"H4","M3-Hole","alex-library:M3-Hole",""
